vendor,slug,status,scim_plan,scim_price_text,team_price_text,pricing_page_url,team_plan,team_price_per_user_mo,scim_price_per_user_mo,price_multiplier,notes,last_verified
15Five,15five,gated,Perform,Perform: $11/u/mo,Engage: $4/u/mo,https://www.15five.com/pricing,Engage,4,11,2.8,"Engage $4, Perform $11, Total Platform $16. SCIM gated to Perform tier and above.",2026-06-12
1Password,1password,gated,Business,Business: $7.99/u/mo,Teams Starter Pack: $19.95/mo flat (up to 10 members),https://1password.com/teams/pricing,Teams Starter Pack,2,7.99,4,Teams Starter Pack is $19.95/mo flat to 10 users (~$2/u/mo). SCIM provisioning requires Business tier.,2026-06-12
8x8,8x8,gated,X Series (Contact Sales for SCIM),Contact Sales,X2: $24/u/mo,https://www.8x8.com/pricing,X2,24,,,"Pricing no longer fully listed publicly. X2 $24/u/mo, X4 $44/u/mo, X6+ enterprise. SCIM availability/pricing not publicly disclosed.",2026-06-12
ActiveCampaign,activecampaign,none,—,—,Starter: $15/mo (500 contacts),https://www.activecampaign.com/pricing,Starter,,,,"No native SCIM provisioning on any plan. Enterprise tier has SAML SSO with JIT only, no automated deprovisioning. Contact-based pricing model, not per-user.",2026-06-12
Adobe Acrobat,adobe-acrobat,gated,Enterprise (ETLA),Contact Sales,Pro for Teams: ~$23.99/u/mo,https://www.adobe.com/acrobat/pricing/business.html,Acrobat Pro for Teams,23.99,,,"Teams SKU supports SAML only. Full SCIM provisioning requires Enterprise/ETLA agreement, custom-quoted. Pricing rose to ~$23.99/u/mo on annual.",2026-06-12
Adobe Creative Cloud,adobe-creative-cloud,gated,Enterprise,Contact Sales (~$50K+/yr typical),Teams All Apps: ~$89.99/u/mo,https://www.adobe.com/creativecloud/business/enterprise.html,Creative Cloud for Teams (All Apps),89.99,,,"Teams plan does NOT support SCIM at all; status updated from 'partial' to 'gated'. SCIM only on Enterprise, and only with Azure AD or Google Workspace IdPs (Okta etc. locked out).",2026-06-12
Ahrefs,ahrefs,gated,Enterprise,"Enterprise: $1,499/mo (annual)","Lite: $129/mo (flat, 1 user)",https://ahrefs.com/pricing,Lite,129,,,"Status changed from 'none' to 'gated'. SCIM provisioning IS available on Enterprise plan ($1,499/mo+), per Ahrefs help docs. SAML SSO + SCIM gated to Enterprise. Lite/Standard/Advanced do not support SCIM. Plans are seat-based with add-on users; not strictly per-user-per-month pricing.",2026-06-12
Airtable,airtable,gated,Enterprise Scale,Contact Sales (typically $65+/u/mo),Team: $20/u/mo,https://airtable.com/pricing,Team,20,,,"Business ($45/u/mo) does NOT include SCIM; Enterprise Scale required. Custom-quoted, typically starts above $65/seat/mo at 50+ seats.",2026-06-12
Amplitude,amplitude,gated,Growth,Contact Sales (~$36K+/yr),Plus: $49/mo (flat),https://amplitude.com/pricing,Plus,,,,"Plus is $49/mo flat (unlimited seats, MTU-capped). SCIM requires Growth or Enterprise, custom-quoted. Median Amplitude contract $63.7K/yr.",2026-06-12
Anthology / Blackboard,anthology-blackboard,gated,Enterprise (Contact Sales),Contact Sales,Contact Sales,https://www.anthology.com/products/teaching-and-learning/learning-effectiveness/blackboard,Contact Sales,,,,"No public pricing. Sales-led, multi-year contracts. SCIM is supported (Blackboard provides SCIM URL + token) on enterprise deployments. Typical 5,000-learner deployment GBP 65K-100K/yr.",2026-06-12
AnyDesk,anydesk,partial,Ultimate (Contact Sales),Contact Sales,Solo: $14.90/mo (flat),https://anydesk.com/en/pricing,Solo,14.9,,,"Per-connection licensing, not per-user. Solo $14.90, Standard $49.90, Advanced $111.90/mo. SCIM/advanced enterprise features require Ultimate tier (custom-priced).",2026-06-12
AppFolio,appfolio,unknown,—,—,Core: $1.40/unit/mo (200-unit minimum),https://www.appfolio.com/pricing,Core,,,,Property management software priced per unit (not per user). No public SCIM documentation found. Status remains unknown.,2026-06-12
Appsmith,appsmith,gated,Enterprise,"Enterprise: $2,500/mo flat for ~100 users (~$25/u/mo)",Business: $15/u/mo,https://www.appsmith.com/pricing,Business,15,25,1.7,"Business now $15/u/mo flat (moved from hourly billing). Enterprise $2,500/mo for 100 users includes SCIM + SAML/OIDC SSO. Normalized to ~$25/u/mo for multiplier.",2026-06-12
Asana,asana,gated,Enterprise,Contact Sales,Starter: $10.99/u/mo,https://asana.com/pricing,Starter,10.99,,,"SCIM (User provisioning) explicitly gated to Enterprise tier. Starter $10.99, Advanced $24.99, Enterprise/Enterprise+ contact sales.",2026-06-12
Ashby,ashby,gated,Growth / Enterprise,Contact Sales,Foundations: $400/mo (up to 100 employees),https://www.ashbyhq.com/pricing,Foundations,,,,"Foundations $400/mo flat (no SCIM). SCIM 2.0 only on Growth/Enterprise, custom-quoted ($30K-$70K/yr for 100-300 emp).",2026-06-12
Atera,atera,none,—,—,Professional: $149/tech/mo (annual),https://www.atera.com/pricing/,Professional,149,,,"IT Dept tiers: Professional $149, Expert $189, Master $219/tech/mo (annual). No public SCIM support documented across plans. Per-technician pricing.",2026-06-12
athenahealth,athenahealth,none,—,—,~$140/provider/mo + 4-7% of collections,https://www.athenahealth.com/why-choose-us/cost-value,athenaOne,140,,,Status changed from 'partial' to 'none'. No SCIM 2.0 endpoint; no native IdP/SCIM connectors. User management via proprietary REST API only. Per-provider + percent of collections billing.,2026-06-12
